approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0023998178,0.14404297,4705.0,5800.0,0.004611670970916748,227,56,5.399331,-0.013415262,7168,130.03020607367696,28672,0.015248818
0.0019499718,0.107910156,5978.5,4500.0,0.0018579959869384766,225,57,5.4316845,-0.008109847,7296,132.30401601320838,29184,0.032179065
0.0015567215,0.09716797,5978.5,4500.0,0.0067923665046691895,226,58,5.3939404,-0.011841745,7424,134.56835205312407,29696,0.055639904
0.0024658802,0.13330078,5978.5,4500.0,0.0024532079696655273,224,59,5.353601,-0.013071742,7552,136.85436864182458,30208,0.0150674
0.002375914,0.13867188,5978.5,4500.0,-0.002653360366821289,225,60,5.2692065,-0.0057730875,7680,139.12506366032554,30720,0.0061330553
0.0026176935,0.14404297,5978.5,4500.0,-0.005854368209838867,225,61,5.2378926,-0.011089599,7808,141.39848723790314,31232,0.00792997
0.001788226,0.104003906,5978.5,4500.0,0.004019677639007568,229,62,5.118637,-0.008566667,7936,143.62849992107934,31744,0.0028555412
0.0022269199,0.14794922,5978.5,4500.0,0.08409810066223145,227,63,5.179985,-0.012073637,8064,145.88428662022687,32256,0.00029996564
0.0034818803,0.18164062,5978.5,4500.0,0.0022808313369750977,226,64,5.094247,-0.012451187,8192,148.1489872316174,32768,0.007951936
0.004519287,0.2836914,5978.5,4500.0,0.008645474910736084,224,65,5.0896797,-0.009494288,8320,150.4286775274511,33280,0.03469844
0.0025667395,0.19238281,5978.5,4500.0,-0.0037055015563964844,225,66,4.897044,-0.015753394,8448,152.70305325118136,33792,0.029742105
0.0021469775,0.12841797,5978.5,4500.0,-0.004771709442138672,220,67,4.933397,-0.008065758,8576,155.03043375624554,34304,0.005788035
0.0023055624,0.14160156,5978.5,4500.0,0.005821108818054199,205,68,4.908537,-0.014121582,8704,157.5215280852734,34816,0.0013886074
0.0030578496,0.20458984,5978.5,4500.0,-0.001434326171875,213,69,4.888932,-0.015389579,8832,159.91671127196332,35328,0.00055390206
0.0027817518,0.20117188,5978.5,4500.0,-0.05420947074890137,224,70,4.908521,-0.015515547,8960,162.20210382883857,35840,0.0005190156
